year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1927,1928,1,Best Actor,Male,Emil Jannings,White,The Last Command,1
1927,1928,1,Best Actress,Female,Janet Gaynor,White,7th Heaven,1
1928,1929,2,Best Actor,Male,Warner Baxter,White,In Old Arizona,1
1928,1929,2,Best Actress,Female,Mary Pickford,White,Coquette,1
1929,1930,3,Best Actor,Male,George Arliss,White,Disraeli,1
1929,1930,3,Best Actress,Female,Norma Shearer,White,The Divorcee,1
1930,1931,4,Best Actor,Male,Lionel Barrymore,White,A Free Soul,1
1930,1931,4,Best Actress,Female,Marie Dressler,White,Min and Bill,1
1931,1932,5,Best Actor,Male,Wallace Beery,White,The Champ,1
1931,1932,5,Best Actor,Male,Fredric March,White,Dr. Jekyll and Mr. Hyde,1
1931,1932,5,Best Actress,Female,Helen Hayes,White,The Sin of Madelon Claudet,1
1932,1933,6,Best Actor,Male,Charles Laughton,White,The Private Life of Henry VIII,1
1932,1933,6,Best Actress,Female,Katharine Hepburn,White,Morning Glory,1
1934,1935,7,Best Actor,Male,Clark Gable,White,It Happened One Night,1
1934,1935,7,Best Actress,Female,Claudette Colbert,White,It Happened One Night,1
1935,1936,8,Best Actor,Male,Victor McLaglen,White,The Informer,1
1935,1936,8,Best Actress,Female,Bette Davis,White,Dangerous,1
1936,1937,9,Best Actor,Male,Paul Muni,White,The Story of Louis Pasteur,1
1936,1937,9,Best Actor in supporting role,Male,Walter Brennan,White,Come and Get It,1
1936,1937,9,Best Actress,Female,Luise Rainer,White,The Great Ziegfeld,1
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Female,Gale Sondergaard,White,Anthony Adverse,1
1937,1938,10,Best Actor,Male,Spencer Tracy,White,Captains Courageous,1
1937,1938,10,Best Actor in supporting role,Male,Joseph Schildkraut,White,The Life of Emile Zola,1
1937,1938,10,Best Actress,Female,Luise Rainer,White,The Good Earth,1
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Female,Alice Brady,White,In Old Chicago,1
1938,1939,11,Best Actor,Male,Spencer Tracy,White,Boys Town,1
1938,1939,11,Best Actor in supporting role,Male,Walter Brennan,White,Kentucky,1
1938,1939,11,Best Actress,Female,Bette Davis,White,Jezebel,1
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Female,Fay Bainter,White,Jezebel,1
1939,1940,12,Best Actor,Male,Robert Donat,White,"Goodbye, Mr. Chips",1
1939,1940,12,Best Actor in supporting role,Male,Thomas Mitchell,White,Stagecoach,1
1939,1940,12,Best Actress,Female,Vivien Leigh,White,Gone with the Wind,1
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Female,Hattie McDaniel,Black,Gone with the Wind,1
1940,1941,13,Best Actor,Male,James Stewart,White,The Philadelphia Story,1
1940,1941,13,Best Actor in supporting role,Male,Walter Brennan,White,The Westerner,1
1940,1941,13,Best Actress,Female,Ginger Rogers,White,Kitty Foyle,1
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Female,Jane Darwell,White,The Grapes of Wrath,1
1941,1942,14,Best Actor,Male,Gary Cooper,White,Sergeant York,1
1941,1942,14,Best Actor in supporting role,Male,Donald Crisp,White,How Green Was My Valley,1
1941,1942,14,Best Actress,Female,Joan Fontaine,White,Suspicion,1
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Female,Mary Astor,White,The Great Lie,1
1942,1943,15,Best Actor,Male,James Cagney,White,Yankee Doodle Dandy,1
1942,1943,15,Best Actor in supporting role,Male,Van Heflin,White,Johnny Eager,1
1942,1943,15,Best Actress,Female,Greer Garson,White,Mrs. Miniver,1
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Female,Teresa Wright,White,Mrs. Miniver,1
1943,1944,16,Best Actor,Male,Paul Lukas,White,Watch on the Rhine,1
1943,1944,16,Best Actor in supporting role,Male,Charles Coburn,White,The More the Merrier,1
1943,1944,16,Best Actress,Female,Jennifer Jones,White,The Song of Bernadette,1
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Female,Katina Paxinou,White,For Whom the Bell Tolls,1
1944,1945,17,Best Actor,Male,Bing Crosby,White,Going My Way,1
1944,1945,17,Best Actor in supporting role,Male,Barry Fitzgerald,White,Going My Way,1
1944,1945,17,Best Actress,Female,Ingrid Bergman,White,Gaslight,1
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Female,Ethel Barrymore,White,None but the Lonely Heart,1
1945,1946,18,Best Actor,Male,Ray Milland,White,The Lost Weekend,1
1945,1946,18,Best Actor in supporting role,Male,James Dunn,White,A Tree Grows in Brooklyn,1
1945,1946,18,Best Actress,Female,Joan Crawford,White,Mildred Pierce,1
1945,1946,18,ACTRESS IN A SUPPORTING ROLE,Female,Anne Revere,White,National Velvet,1
1946,1947,19,Best Actor,Male,Fredric March,White,The Best Years of Our Lives,1
1946,1947,19,Best Actor in supporting role,Male,Harold Russell,White,The Best Years of Our Lives,1
1946,1947,19,Best Actress,Female,Olivia de Havilland,White,To Each His Own,1
1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Female,Anne Baxter,White,The Razor's Edge,1
1947,1948,20,Best Actor,Male,Ronald Colman,White,A Double Life,1
1947,1948,20,Best Actor in supporting role,Male,Edmund Gwenn,White,Miracle on 34th Street,1
1947,1948,20,Best Actress,Female,Loretta Young,White,The Farmer's Daughter,1
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Female,Celeste Holm,White,Gentleman's Agreement,1
1948,1949,21,Best Actor,Male,Laurence Olivier,White,Hamlet,1
1948,1949,21,Best Actor in supporting role,Male,Walter Huston,White,The Treasure of the Sierra Madre,1
1948,1949,21,Best Actress,Female,Jane Wyman,White,Johnny Belinda,1
1948,1949,21,ACTRESS IN A SUPPORTING ROLE,Female,Claire Trevor,White,Key Largo,1
1949,1950,22,Best Actor,Male,Broderick Crawford,White,All the King's Men,1
1949,1950,22,Best Actor in supporting role,Male,Dean Jagger,White,Twelve O'Clock High,1
1949,1950,22,Best Actress,Female,Olivia de Havilland,White,The Heiress,1
1949,1950,22,ACTRESS IN A SUPPORTING ROLE,Female,Mercedes McCambridge,White,All the King's Men,1
1950,1951,23,Best Actor,Male,José Ferrer,White,Cyrano de Bergerac,1
1950,1951,23,Best Actor in supporting role,Male,George Sanders,White,All about Eve,1
1950,1951,23,Best Actress,Female,Judy Holliday,White,Born Yesterday,1
1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Female,Josephine Hull,White,Harvey,1
1951,1952,24,Best Actor,Male,Humphrey Bogart,White,The African Queen,1
1951,1952,24,Best Actor in supporting role,Male,Karl Malden,White,A Streetcar Named Desire,1
1951,1952,24,Best Actress,Female,Vivien Leigh,White,A Streetcar Named Desire,1
1951,1952,24,ACTRESS IN A SUPPORTING ROLE,Female,Kim Hunter,White,A Streetcar Named Desire,1
1952,1953,25,Best Actor,Male,Gary Cooper,White,High Noon,1
1952,1953,25,Best Actor in supporting role,Male,Anthony Quinn,White,Viva Zapata!,1
1952,1953,25,Best Actress,Female,Shirley Booth,White,"Come Back, Little Sheba",1
1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Female,Gloria Grahame,White,The Bad and the Beautiful,1
1953,1954,26,Best Actor,Male,William Holden,White,Stalag 17,1
1953,1954,26,Best Actor in supporting role,Male,Frank Sinatra,White,From Here to Eternity,1
1953,1954,26,Best Actress,Female,Audrey Hepburn,White,Roman Holiday,1
1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Female,Donna Reed,White,From Here to Eternity,1
1954,1955,27,Best Actor,Male,Marlon Brando,White,On the Waterfront,1
1954,1955,27,Best Actor in supporting role,Male,Edmond O'Brien,White,The Barefoot Contessa,1
1954,1955,27,Best Actress,Female,Grace Kelly,White,The Country Girl,1
1954,1955,27,ACTRESS IN A SUPPORTING ROLE,Female,Eva Marie Saint,White,On the Waterfront,1
1955,1956,28,Best Actor,Male,Ernest Borgnine,White,Marty,1
1955,1956,28,Best Actor in supporting role,Male,Jack Lemmon,White,Mister Roberts,1
1955,1956,28,Best Actress,Female,Anna Magnani,White,The Rose Tattoo,1
1955,1956,28,ACTRESS IN A SUPPORTING ROLE,Female,Jo Van Fleet,White,East of Eden,1
1956,1957,29,Best Actor,Male,Yul Brynner,Asian,The King and I,1
1956,1957,29,Best Actor in supporting role,Male,Anthony Quinn,White,Lust for Life,1
1956,1957,29,Best Actress,Female,Ingrid Bergman,White,Anastasia,1
1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Female,Dorothy Malone,White,Written on the Wind,1
1957,1958,30,Best Actor,Male,Alec Guinness,White,The Bridge on the River Kwai,1
1957,1958,30,Best Actor in supporting role,Male,Red Buttons,White,Sayonara,1
1957,1958,30,Best Actress,Female,Joanne Woodward,White,The Three Faces of Eve,1
1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Female,Miyoshi Umeki,Asian,Sayonara,1
1958,1959,31,Best Actor,Male,David Niven,White,Separate Tables,1
1958,1959,31,Best Actor in supporting role,Male,Burl Ives,White,The Big Country,1
1958,1959,31,Best Actress,Female,Susan Hayward,White,I Want to Live!,1
1958,1959,31,ACTRESS IN A SUPPORTING ROLE,Female,Wendy Hiller,White,Separate Tables,1
1959,1960,32,Best Actor,Male,Charlton Heston,White,Ben-Hur,1
1959,1960,32,Best Actor in supporting role,Male,Hugh Griffith,White,Ben-Hur,1
1959,1960,32,Best Actress,Female,Simone Signoret,White,Room at the Top,1
1959,1960,32,ACTRESS IN A SUPPORTING ROLE,Female,Shelley Winters,White,The Diary of Anne Frank,1
1960,1961,33,Best Actor,Male,Burt Lancaster,White,Elmer Gantry,1
1960,1961,33,Best Actor in supporting role,Male,Peter Ustinov,White,Spartacus,1
1960,1961,33,Best Actress,Female,Elizabeth Taylor,White,Butterfield 8,1
1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Female,Shirley Jones,White,Elmer Gantry,1
1961,1962,34,Best Actor,Male,Maximilian Schell,White,Judgment at Nuremberg,1
1961,1962,34,Best Actor in supporting role,Male,George Chakiris,White,West Side Story,1
1961,1962,34,Best Actress,Female,Sophia Loren,White,Two Women,1
1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Female,Rita Moreno,White,West Side Story,1
1962,1963,35,Best Actor,Male,Gregory Peck,White,To Kill a Mockingbird,1
1962,1963,35,Best Actor in supporting role,Male,Ed Begley,White,Sweet Bird of Youth,1
1962,1963,35,Best Actress,Female,Anne Bancroft,White,The Miracle Worker,1
1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Female,Patty Duke,White,The Miracle Worker,1
1963,1964,36,Best Actor,Male,Sidney Poitier,Black,Lilies of the Field,1
1963,1964,36,Best Actor in supporting role,Male,Melvyn Douglas,White,Hud,1
1963,1964,36,Best Actress,Female,Patricia Neal,White,Hud,1
1963,1964,36,ACTRESS IN A SUPPORTING ROLE,Female,Margaret Rutherford,White,The V.I.P.s,1
1964,1965,37,Best Actor,Male,Rex Harrison,White,My Fair Lady,1
1964,1965,37,Best Actor in supporting role,Male,Peter Ustinov,White,Topkapi,1
1964,1965,37,Best Actress,Female,Julie Andrews,White,Mary Poppins,1
1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Female,Lila Kedrova,White,Zorba the Greek,1
1965,1966,38,Best Actor,Male,Lee Marvin,White,Cat Ballou,1
1965,1966,38,Best Actor in supporting role,Male,Martin Balsam,White,A Thousand Clowns,1
1965,1966,38,Best Actress,Female,Julie Christie,White,Darling,1
1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Female,Shelley Winters,White,A Patch of Blue,1
1966,1967,39,Best Actor,Male,Paul Scofield,White,A Man for All Seasons,1
1966,1967,39,Best Actor in supporting role,Male,Walter Matthau,White,The Fortune Cookie,1
1966,1967,39,Best Actress,Female,Elizabeth Taylor,White,Who's Afraid of Virginia Woolf?,1
1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Female,Sandy Dennis,White,Who's Afraid of Virginia Woolf?,1
1967,1968,40,Best Actor,Male,Rod Steiger,White,In the Heat of the Night,1
1967,1968,40,Best Actor in supporting role,Male,George Kennedy,White,Cool Hand Luke,1
1967,1968,40,Best Actress,Female,Katharine Hepburn,White,Guess Who's Coming to Dinner,1
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Female,Estelle Parsons,White,Bonnie and Clyde,1
1968,1969,41,Best Actor,Male,Cliff Robertson,White,Charly,1
1968,1969,41,Best Actor in supporting role,Male,Jack Albertson,White,The Subject Was Roses,1
1968,1969,41,Best Actress,Female,Katharine Hepburn,White,The Lion in Winter,1
1968,1969,41,Best Actress,Female,Barbra Streisand,White,Funny Girl,1
1968,1969,41,ACTRESS IN A SUPPORTING ROLE,Female,Ruth Gordon,White,Rosemary's Baby,1
1969,1970,42,Best Actor,Male,John Wayne,White,True Grit,1
1969,1970,42,Best Actor in supporting role,Male,Gig Young,White,"They Shoot Horses, Don't They?",1
1969,1970,42,Best Actress,Female,Maggie Smith,White,The Prime of Miss Jean Brodie,1
1969,1970,42,ACTRESS IN A SUPPORTING ROLE,Female,Goldie Hawn,White,Cactus Flower,1
1970,1971,43,Best Actor,Male,George C. Scott,White,Patton,1
1970,1971,43,Best Actor in supporting role,Male,John Mills,White,Ryan's Daughter,1
1970,1971,43,Best Actress,Female,Glenda Jackson,White,Women in Love,1
1970,1971,43,ACTRESS IN A SUPPORTING ROLE,Female,Helen Hayes,White,Airport,1
1971,1972,44,Best Actor,Male,Gene Hackman,White,The French Connection,1
1971,1972,44,Best Actor in supporting role,Male,Ben Johnson,White,The Last Picture Show,1
1971,1972,44,Best Actress,Female,Jane Fonda,White,Klute,1
1971,1972,44,ACTRESS IN A SUPPORTING ROLE,Female,Cloris Leachman,White,The Last Picture Show,1
1972,1973,45,Best Actor,Male,Marlon Brando,White,The Godfather,1
1972,1973,45,Best Actor in supporting role,Male,Joel Grey,White,Cabaret,1
1972,1973,45,Best Actress,Female,Liza Minnelli,White,Cabaret,1
1972,1973,45,ACTRESS IN A SUPPORTING ROLE,Female,Eileen Heckart,White,Butterflies Are Free,1
1973,1974,46,Best Actor,Male,Jack Lemmon,White,Save the Tiger,1
1973,1974,46,Best Actor in supporting role,Male,John Houseman,White,The Paper Chase,1
1973,1974,46,Best Actress,Female,Glenda Jackson,White,A Touch of Class,1
1973,1974,46,ACTRESS IN A SUPPORTING ROLE,Female,Tatum O'Neal,White,Paper Moon,1
1974,1975,47,Best Actor,Male,Art Carney,White,Harry and Tonto,1
1974,1975,47,Best Actor in supporting role,Male,Robert De Niro,White,The Godfather Part II,1
1974,1975,47,Best Actress,Female,Ellen Burstyn,White,Alice Doesn't Live Here Anymore,1
1974,1975,47,ACTRESS IN A SUPPORTING ROLE,Female,Ingrid Bergman,White,Murder on the Orient Express,1
1975,1976,48,Best Actor,Male,Jack Nicholson,White,One Flew over the Cuckoo's Nest,1
1975,1976,48,Best Actor in supporting role,Male,George Burns,White,The Sunshine Boys,1
1975,1976,48,Best Actress,Female,Louise Fletcher,White,One Flew over the Cuckoo's Nest,1
1975,1976,48,ACTRESS IN A SUPPORTING ROLE,Female,Lee Grant,White,Shampoo,1
1976,1977,49,Best Actor,Male,Peter Finch,White,Network,1
1976,1977,49,Best Actor in supporting role,Male,Jason Robards,White,All the President's Men,1
1976,1977,49,Best Actress,Female,Faye Dunaway,White,Network,1
1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Female,Beatrice Straight,White,Network,1
1977,1978,50,Best Actor,Male,Richard Dreyfuss,White,The Goodbye Girl,1
1977,1978,50,Best Actor in supporting role,Male,Jason Robards,White,Julia,1
1977,1978,50,Best Actress,Female,Diane Keaton,White,Annie Hall,1
1977,1978,50,ACTRESS IN A SUPPORTING ROLE,Female,Vanessa Redgrave,White,Julia,1
1978,1979,51,Best Actor,Male,Jon Voight,White,Coming Home,1
1978,1979,51,Best Actor in supporting role,Male,Christopher Walken,White,The Deer Hunter,1
1978,1979,51,Best Actress,Female,Jane Fonda,White,Coming Home,1
1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Female,Maggie Smith,White,California Suite,1
1979,1980,52,Best Actor,Male,Dustin Hoffman,White,Kramer vs. Kramer,1
1979,1980,52,Best Actor in supporting role,Male,Melvyn Douglas,White,Being There,1
1979,1980,52,Best Actress,Female,Sally Field,White,Norma Rae,1
1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Female,Meryl Streep,White,Kramer vs. Kramer,1
1980,1981,53,Best Actor,Male,Robert De Niro,White,Raging Bull,1
1980,1981,53,Best Actor in supporting role,Male,Timothy Hutton,White,Ordinary People,1
1980,1981,53,Best Actress,Female,Sissy Spacek,White,Coal Miner's Daughter,1
1980,1981,53,ACTRESS IN A SUPPORTING ROLE,Female,Mary Steenburgen,White,Melvin and Howard,1
1981,1982,54,Best Actor,Male,Henry Fonda,White,On Golden Pond,1
1981,1982,54,Best Actor in supporting role,Male,John Gielgud,White,Arthur,1
1981,1982,54,Best Actress,Female,Katharine Hepburn,White,On Golden Pond,1
1981,1982,54,ACTRESS IN A SUPPORTING ROLE,Female,Maureen Stapleton,White,Reds,1
1982,1983,55,Best Actor,Male,Ben Kingsley,Asian,Gandhi,1
1982,1983,55,Best Actor in supporting role,Male,"Louis Gossett, Jr.",Black,An Officer and a Gentleman,1
1982,1983,55,Best Actress,Female,Meryl Streep,White,Sophie's Choice,1
1982,1983,55,ACTRESS IN A SUPPORTING ROLE,Female,Jessica Lange,White,Tootsie,1
1983,1984,56,Best Actor,Male,Robert Duvall,White,Tender Mercies,1
1983,1984,56,Best Actor in supporting role,Male,Jack Nicholson,White,Terms of Endearment,1
1983,1984,56,Best Actress,Female,Shirley MacLaine,White,Terms of Endearment,1
1983,1984,56,ACTRESS IN A SUPPORTING ROLE,Female,Linda Hunt,White,The Year of Living Dangerously,1
1984,1985,57,Best Actor,Male,F. Murray Abraham,Asian,Amadeus,1
1984,1985,57,Best Actor in supporting role,Male,Haing S. Ngor,Asian,The Killing Fields,1
1984,1985,57,Best Actress,Female,Sally Field,White,Places in the Heart,1
1984,1985,57,ACTRESS IN A SUPPORTING ROLE,Female,Peggy Ashcroft,White,A Passage to India,1
1985,1986,58,Best Actor,Male,William Hurt,White,Kiss of the Spider Woman,1
1985,1986,58,Best Actor in supporting role,Male,Don Ameche,White,Cocoon,1
1985,1986,58,Best Actress,Female,Geraldine Page,White,The Trip to Bountiful,1
1985,1986,58,ACTRESS IN A SUPPORTING ROLE,Female,Anjelica Huston,White,Prizzi's Honor,1
1986,1987,59,Best Actor,Male,Paul Newman,White,The Color of Money,1
1986,1987,59,Best Actor in supporting role,Male,Michael Caine,White,Hannah and Her Sisters,1
1986,1987,59,Best Actress,Female,Marlee Matlin,White,Children of a Lesser God,1
1986,1987,59,ACTRESS IN A SUPPORTING ROLE,Female,Dianne Wiest,White,Hannah and Her Sisters,1
1987,1988,60,Best Actor,Male,Michael Douglas,White,Wall Street,1
1987,1988,60,Best Actor in supporting role,Male,Sean Connery,White,The Untouchables,1
1987,1988,60,Best Actress,Female,Cher,White,Moonstruck,1
1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Female,Olympia Dukakis,White,Moonstruck,1
1988,1989,61,Best Actor,Male,Dustin Hoffman,White,Rain Man,1
1988,1989,61,Best Actor in supporting role,Male,Kevin Kline,White,A Fish Called Wanda,1
1988,1989,61,Best Actress,Female,Jodie Foster,White,The Accused,1
1988,1989,61,ACTRESS IN A SUPPORTING ROLE,Female,Geena Davis,White,The Accidental Tourist,1
1989,1990,62,Best Actor,Male,Daniel Day Lewis,White,My Left Foot,1
1989,1990,62,Best Actor in supporting role,Male,Denzel Washington,Black,Glory,1
1989,1990,62,Best Actress,Female,Jessica Tandy,White,Driving Miss Daisy,1
1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Female,Brenda Fricker,White,My Left Foot,1
1990,1991,63,Best Actor,Male,Jeremy Irons,White,Reversal of Fortune,1
1990,1991,63,Best Actor in supporting role,Male,Joe Pesci,White,Good Fellas,1
1990,1991,63,Best Actress,Female,Kathy Bates,White,Misery,1
1990,1991,63,ACTRESS IN A SUPPORTING ROLE,Female,Whoopi Goldberg,Black,Ghost,1
1991,1992,64,Best Actor,Male,Anthony Hopkins,White,The Silence of the Lambs,1
1991,1992,64,Best Actor in supporting role,Male,Jack Palance,White,City Slickers,1
1991,1992,64,Best Actress,Female,Jodie Foster,White,The Silence of the Lambs,1
1991,1992,64,ACTRESS IN A SUPPORTING ROLE,Female,Mercedes Ruehl,Hispanic,The Fisher King,1
1992,1993,65,Best Actor,Male,Al Pacino,White,Scent of a Woman,1
1992,1993,65,Best Actor in supporting role,Male,Gene Hackman,White,Unforgiven,1
1992,1993,65,Best Actress,Female,Emma Thompson,White,Howards End,1
1992,1993,65,ACTRESS IN A SUPPORTING ROLE,Female,Marisa Tomei,White,My Cousin Vinny,1
1993,1994,66,Best Actor,Male,Tom Hanks,White,Philadelphia,1
1993,1994,66,Best Actor in supporting role,Male,Tommy Lee Jones,White,The Fugitive,1
1993,1994,66,Best Actress,Female,Holly Hunter,White,The Piano,1
1993,1994,66,ACTRESS IN A SUPPORTING ROLE,Female,Anna Paquin,White,The Piano,1
1994,1995,67,Best Actor,Male,Tom Hanks,White,Forrest Gump,1
1994,1995,67,Best Actor in supporting role,Male,Martin Landau,White,Ed Wood,1
1994,1995,67,Best Actress,Female,Jessica Lange,White,Blue Sky,1
1994,1995,67,ACTRESS IN A SUPPORTING ROLE,Female,Dianne Wiest,White,Bullets over Broadway,1
1995,1996,68,Best Actor,Male,Nicolas Cage,White,Leaving Las Vegas,1
1995,1996,68,Best Actor in supporting role,Male,Kevin Spacey,White,The Usual Suspects,1
1995,1996,68,Best Actress,Female,Susan Sarandon,White,Dead Man Walking,1
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Female,Mira Sorvino,White,Mighty Aphrodite,1
1996,1997,69,Best Actor,Male,Geoffrey Rush,White,Shine,1
1996,1997,69,Best Actor in supporting role,Male,Cuba Gooding Jr.,Black,Jerry Maguire,1
1996,1997,69,Best Actress,Female,Frances McDormand,White,Fargo,1
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Female,Juliette Binoche,White,The English Patient,1
1997,1998,70,Best Actor,Male,Jack Nicholson,White,As Good as It Gets,1
1997,1998,70,Best Actor in supporting role,Male,Robin Williams,White,Good Will Hunting,1
1997,1998,70,Best Actress,Female,Helen Hunt,White,As Good as It Gets,1
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Female,Kim Basinger,White,L.A. Confidential,1
1998,1999,71,Best Actor,Male,Roberto Benigni,White,Life Is Beautiful,1
1998,1999,71,Best Actor in supporting role,Male,James Coburn,White,Affliction,1
1998,1999,71,Best Actress,Female,Gwyneth Paltrow,White,Shakespeare in Love,1
1998,1999,71,ACTRESS IN A SUPPORTING ROLE,Female,Judi Dench,White,Shakespeare in Love,1
1999,2000,72,Best Actor,Male,Kevin Spacey,White,American Beauty,1
1999,2000,72,Best Actor in supporting role,Male,Michael Caine,White,The Cider House Rules,1
1999,2000,72,Best Actress,Female,Hilary Swank,Hispanic,Boys Don't Cry,1
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Female,Angelina Jolie,White,"Girl, Interrupted",1
2000,2001,73,Best Actor,Male,Russell Crowe,White,Gladiator,1
2000,2001,73,Best Actor in supporting role,Male,Benicio Del Toro,White,Traffic,1
2000,2001,73,Best Actress,Female,Julia Roberts,White,Erin Brockovich,1
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Female,Marcia Gay Harden,White,Pollock,1
2001,2002,74,Best Actor,Male,Denzel Washington,Black,Training Day,1
2001,2002,74,Best Actor in supporting role,Male,Jim Broadbent,White,Iris,1
2001,2002,74,Best Actress,Female,Halle Berry,Black,Monster's Ball,1
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Female,Jennifer Connelly,White,A Beautiful Mind,1
2002,2003,75,Best Actor,Male,Adrien Brody,White,The Pianist,1
2002,2003,75,Best Actor in supporting role,Male,Chris Cooper,White,Adaptation,1
2002,2003,75,Best Actress,Female,Nicole Kidman,White,The Hours,1
2002,2003,75,ACTRESS IN A SUPPORTING ROLE,Female,Catherine Zeta-Jones,White,Chicago,1
2003,2004,76,Best Actor,Male,Sean Penn,White,Mystic River,1
2003,2004,76,Best Actor in supporting role,Male,Tim Robbins,White,Mystic River,1
2003,2004,76,Best Actress,Female,Charlize Theron,White,Monster,1
2003,2004,76,ACTRESS IN A SUPPORTING ROLE,Female,Renée Zellweger,White,Cold Mountain,1
2004,2005,77,Best Actor,Male,Jamie Foxx,Black,Ray,1
2004,2005,77,Best Actor in supporting role,Male,Morgan Freeman,Black,Million Dollar Baby,1
2004,2005,77,Best Actress,Female,Hilary Swank,Hispanic,Million Dollar Baby,1
2004,2005,77,ACTRESS IN A SUPPORTING ROLE,Female,Cate Blanchett,White,The Aviator,1
2005,2006,78,Best Actor,Male,Philip Seymour Hoffman,White,Capote,1
2005,2006,78,Best Actor in supporting role,Male,George Clooney,White,Syriana,1
2005,2006,78,Best Actress,Female,Reese Witherspoon,White,Walk the Line,1
2005,2006,78,ACTRESS IN A SUPPORTING ROLE,Female,Rachel Weisz,White,The Constant Gardener,1
2006,2007,79,Best Actor,Male,Forest Whitaker,Black,The Last King of Scotland,1
2006,2007,79,Best Actor in supporting role,Male,Alan Arkin,White,Little Miss Sunshine,1
2006,2007,79,Best Actress,Female,Helen Mirren,White,The Queen,1
2006,2007,79,ACTRESS IN A SUPPORTING ROLE,Female,Jennifer Hudson,Black,Dreamgirls,1
2007,2008,80,Best Actor,Male,Daniel Day-Lewis,White,There Will Be Blood,1
2007,2008,80,Best Actor in supporting role,Male,Javier Bardem,White,No Country for Old Men,1
2007,2008,80,Best Actress,Female,Marion Cotillard,White,La Vie en Rose,1
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Tilda Swinton,White,Michael Clayton,1
2008,2009,81,Best Actor,Male,Sean Penn,White,Milk,1
2008,2009,81,Best Actor in supporting role,Male,Heath Ledger,White,The Dark Knight,1
2008,2009,81,Best Actress,Female,Kate Winslet,White,The Reader,1
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Female,Penélope Cruz,White,Vicky Cristina Barcelona,1
2009,2010,82,Best Actor,Male,Jeff Bridges,White,Crazy Heart,1
2009,2010,82,Best Actor in supporting role,Male,Christoph Waltz,White,Inglourious Basterds,1
2009,2010,82,Best Actress,Female,Sandra Bullock,White,The Blind Side,1
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,Female,Mo'Nique,Black,Precious: Based on the Novel 'Push' by Sapphire,1
2010,2011,83,Best Actor,Male,Colin Firth,White,The King's Speech,1
2010,2011,83,Best Actor in supporting role,Male,Christian Bale,White,The Fighter,1
2010,2011,83,Best Actress,Female,Natalie Portman,Asian,Black Swan,1
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,Female,Melissa Leo,White,The Fighter,1
2011,2012,84,Best Actor,Male,Jean Dujardin,White,The Artist,1
2011,2012,84,Best Actor in supporting role,Male,Christopher Plummer,White,Beginners,1
2011,2012,84,Best Actress,Female,Meryl Streep,White,The Iron Lady,1
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,Female,Octavia Spencer,Black,The Help,1
2012,2013,85,Best Actor,Male,Daniel Day-Lewis,White,Lincoln,1
2012,2013,85,Best Actor in supporting role,Male,Christoph Waltz,White,Django Unchained,1
2012,2013,85,Best Actress,Female,Jennifer Lawrence,White,Silver Linings Playbook,1
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,Female,Anne Hathaway,White,Les Misérables,1
2013,2014,86,Best Actor,Male,Matthew McConaughey,White,Dallas Buyers Club,1
2013,2014,86,Best Actor in supporting role,Male,Jared Leto,White,Dallas Buyers Club,1
